ticker,buy,open,high,low,p_close,p_open,p_high,p_low,ibov_open,ibov_current,ibov_high,ibov_low,ibov_p_open,ibov_p_close,ibov_p_high,ibov_p_low,sell,take_profit,stop_loss,volume,avg_volume,bands_base,bands_lower,bands_upper,ma_4,ma_9,ma_21,ma_200,sma_4,sma_9,sma_21,sma_200,rsi_2,rsi_14,buy_date,sell_date,buy_day_of_week,profit
BBDC3,12.670000,12.390000,12.670000,12.340000,12.480000,12.420000,12.660000,12.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.280000,13.400000,12.290000,1199,5934.200000,11.987000,10.405000,13.569000,12.595553,12.503396,12.064530,11.498209,12.557500,12.647778,11.909048,11.672500,70.050753,62.063594,2014.04.11,2014.04.15,5,false
BBDC3,13.000000,13.000000,13.000000,13.000000,12.910000,12.780000,12.960000,12.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.710000,13.440000,12.720000,1,5355.100000,12.725500,12.288717,13.162283,12.934264,12.845367,12.547188,11.624215,12.952500,12.823333,12.707143,11.772550,78.647064,62.046849,2014.04.29,2014.04.30,2,false
BBDC3,13.700000,13.570000,13.700000,13.450000,13.570000,13.670000,13.690000,13.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.370000,14.310000,13.380000,326,3615.400000,13.053500,11.886156,14.220844,13.627077,13.508747,13.208542,12.189733,13.615000,13.578889,13.006190,12.105800,88.738318,65.703752,2014.07.29,2014.07.29,2,false
BBDC3,15.470000,15.470000,15.470000,15.470000,15.350000,14.990000,15.450000,14.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.810000,16.710000,14.820000,1,5108.450000,14.287500,12.913238,15.661762,15.240755,14.941120,14.430955,12.629230,15.200000,14.901111,14.243810,12.233100,99.118796,78.708513,2014.09.03,2014.09.03,3,false
BBDC3,15.150000,15.150000,15.150000,15.150000,14.940000,14.800000,15.000000,14.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.670000,15.640000,14.680000,1,5260.200000,14.523000,13.418951,15.627049,15.044323,14.935213,14.546380,12.695449,15.017500,15.035556,14.477619,12.271600,72.672892,66.495436,2014.09.08,2014.09.08,1,false
BBDC3,14.030000,13.700000,14.030000,13.680000,13.880000,14.020000,14.020000,13.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.560000,14.560000,13.750000,257,3470.750000,13.395500,12.658493,14.132507,13.915312,13.734796,13.495614,13.138409,13.957500,13.660000,13.385238,13.338400,81.840592,62.853192,2015.02.23,2015.02.27,1,true
BBDC3,14.560000,14.450000,14.560000,14.450000,14.480000,14.220000,14.550000,14.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.190000,15.250000,14.200000,81,4151.650000,14.136000,13.243982,15.028018,14.508987,14.403475,14.174386,13.388061,14.517500,14.455556,14.080952,13.545700,66.216442,58.554879,2015.04.13,2015.04.14,1,false
BBDC3,10.780000,10.780000,10.780000,10.780000,10.440000,10.250000,10.560000,10.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.220000,11.220000,10.230000,1,6299.550000,9.816500,8.651661,10.981339,10.534445,10.316737,10.015585,11.345008,10.515000,10.294444,9.770952,11.623450,97.017839,67.302272,2016.02.22,2016.02.26,1,true
BBDC3,11.020000,10.870000,11.020000,10.840000,10.950000,10.770000,11.000000,10.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.770000,11.760000,10.620000,82,6723.200000,10.135500,8.963229,11.307771,10.907536,10.663065,10.269964,11.336250,10.982500,10.625556,10.078095,11.582100,87.745979,69.113118,2016.02.25,2016.03.02,4,true
BBDC3,14.280000,14.280000,14.280000,14.280000,13.210000,13.360000,13.450000,12.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.650000,14.650000,12.850000,1,8878.200000,12.516500,9.775724,15.257276,13.880766,13.593194,12.660882,11.582659,13.855000,13.805556,12.415714,11.555050,74.092579,70.391524,2016.03.17,2016.03.17,4,true
